3
24
171
B,22,13,2
F,17,1,6
B,1,4,12
K,3,10,21
A,16,7,13
A,4,9,8
F,7,15,21
K,1,2,9
G,9,21,10
A,10,12,9
B,9,22,20
K,4,7,11
O,14,20,21
F,1,4,9
G,4,11,6
O,12,18,12
A,11,18,14
M,8,7,12
A,5,1,12
O,20,18,6
F,19,18,5
F,6,4,8
O,11,6,8
O,15,12,22
K,7,18,3
F,3,21,20
O,20,11,11
K,13,10,4
K,20,15,12
M,22,16,17
K,3,7,19
G,4,4,7
A,14,13,18
M,22,10,20
F,16,20,2
G,7,4,16
O,21,9,22
K,18,22,20
A,18,16,3
33
208
O,8,3,28
K,15,26,29
B,3,13,6
G,4,25,10
F,28,18,2
O,27,3,23
F,25,19,16
F,5,10,21
F,13,5,10
G,12,16,29
K,2,10,7
A,23,4,12
G,10,8,21
B,16,27,12
M,27,22,11
F,29,13,10
F,18,1,4
M,11,30,21
F,6,11,10
G,2,5,8
G,13,13,11
G,1,22,8
O,31,22,19
A,10,17,7
B,17,20,22
B,4,22,9
G,15,30,13
B,11,6,28
K,6,5,8
B,3,25,20
G,8,14,24
B,25,29,1
O,25,17,2
F,1,9,25
K,30,24,26
B,30,11,19
O,29,22,17
M,4,22,3
B,7,19,26
G,22,14,2
G,29,16,14
K,6,14,11
F,26,1,28
F,5,16,16
M,5,10,16
B,26,25,23
K,23,7,25
G,17,8,9
F,10,26,21
G,27,11,7
F,22,12,2
G,15,31,12
B,22,30,19
O,15,1,21
M,3,24,29
O,4,27,24
F,11,27,28
B,25,28,5
G,29,7,23
O,27,23,3
O,26,14,2
F,30,5,2
K,2,18,29
F,3,26,23
B,8,31,21
G,15,11,16
A,4,26,31
O,15,17,22
K,1,16,18
F,18,7,31
B,10,30,18
G,26,24,1
M,22,16,5
F,10,12,7
O,13,31,24
M,30,24,24
B,6,8,16
A,2,9,18
K,11,14,28
B,18,20,16
O,16,1,24
F,26,1,4
A,10,23,1
A,15,11,12
A,11,28,27
G,26,23,27
K,29,13,22
B,10,4,4
F,8,8,1
K,9,16,7
A,15,1,6
A,2,28,1
O,2,29,17
A,25,28,19
A,22,5,21
A,14,26,28
M,13,29,30
A,29,27,8
B,16,4,14
F,29,14,10
K,14,4,15
M,17,7,8
G,17,10,1
M,29,15,20
G,7,2,24
M,23,19,14
A,6,10,27
K,31,2,5
G,17,10,20
A,11,14,1
G,19,20,17
F,23,25,31
M,11,20,5
K,9,10,5
B,2,10,20
F,25,5,28
G,19,22,23
M,2,31,10
O,28,7,11
A,30,22,13
G,1,15,25
F,31,22,10
B,5,29,13
G,17,9,9
M,31,26,31
B,27,21,4
A,22,16,11
A,15,1,8
M,18,3,24
F,7,3,25
M,17,11,4
O,29,20,2
B,16,3,24
A,3,25,15
O,27,31,23
O,5,3,2
A,30,15,6
K,18,26,21
G,5,21,5
K,3,17,31
K,13,5,24
A,5,5,17
M,23,18,24
F,5,27,20
G,6,22,25
M,12,25,29
F,18,11,23
K,14,28,17
G,23,8,14
G,27,17,11
B,14,16,26
K,23,18,25
K,9,21,7
A,7,30,19
F,29,24,11
F,28,23,12
A,31,8,9
A,6,13,26
K,27,6,6
B,9,12,6
O,13,18,6
O,6,4,10
O,21,27,28
B,23,24,24
G,21,31,23
K,28,24,12
F,28,25,6
M,26,16,14
O,12,15,24
A,31,13,17
A,22,12,25
O,9,31,15
M,21,14,30
M,24,1,1
F,5,4,28
O,25,22,10
B,14,25,10
A,21,9,11
B,16,8,21
B,20,15,15
O,5,18,1
A,4,1,4
K,19,21,18
K,8,31,18
G,23,24,6
K,6,10,3
O,27,4,29
F,30,27,24
G,15,16,9
F,6,29,8
K,21,31,5
F,11,17,19
A,28,19,13
F,30,5,24
B,13,2,1
G,6,28,2
F,7,22,25
O,8,10,28
K,14,7,7
O,8,14,21
M,21,7,27
B,16,10,18
A,25,24,23
F,18,6,10
G,6,10,2
G,28,19,23
O,30,15,2
O,4,1,29
30
236
O,16,11,8
O,6,10,10
A,7,10,5
F,16,24,14
M,24,17,22
M,12,6,23
A,22,23,26
M,23,24,20
B,20,22,4
K,4,21,11
K,9,18,12
G,12,21,23
G,6,17,17
K,21,15,13
G,25,21,27
G,9,19,22
K,18,9,19
F,14,12,20
M,1,7,23
O,22,10,10
A,17,26,1
G,10,28,7
O,13,5,4
K,7,15,27
F,10,14,4
O,2,18,11
M,21,12,13
F,9,16,23
G,4,24,9
B,21,28,23
F,26,11,15
F,9,3,16
M,25,14,28
G,26,3,6
G,4,12,14
A,6,18,6
K,15,7,25
K,6,21,26
M,28,19,4
K,11,9,25
F,21,5,14
M,6,24,10
B,11,17,27
G,21,12,14
K,2,28,22
A,7,3,5
O,23,5,22
F,16,1,2
M,16,11,22
A,3,17,19
O,28,5,19
O,14,19,1
F,21,17,27
G,22,23,2
K,20,5,25
F,13,28,15
O,13,21,21
K,25,21,5
G,25,2,11
B,12,7,5
O,1,7,20
G,20,12,26
K,13,4,2
B,21,17,28
F,12,1,26
M,4,13,20
A,28,27,10
B,16,19,7
K,25,26,6
B,4,7,17
O,12,20,20
K,17,17,17
B,25,8,22
B,23,28,16
A,11,15,4
K,5,8,20
M,24,19,13
A,11,12,6
G,20,26,16
A,21,8,26
O,21,19,28
F,19,7,17
B,1,24,22
G,4,17,14
B,8,24,11
B,8,18,23
B,9,18,17
F,13,17,2
O,10,8,9
F,23,21,7
F,15,1,19
B,13,19,18
M,1,11,11
O,1,10,19
G,24,9,7
A,24,13,15
F,26,24,8
G,20,15,5
K,7,6,12
B,15,26,8
A,9,6,14
M,28,15,17
K,15,1,3
A,2,23,7
B,4,28,5
B,10,1,13
B,27,15,16
B,7,5,20
F,21,11,18
G,17,5,11
O,8,7,28
K,1,23,7
O,24,22,20
G,8,25,9
O,25,4,27
M,21,4,25
O,6,20,2
M,10,1,27
O,13,24,7
F,23,7,16
A,14,16,27
A,16,10,3
B,27,20,18
F,4,4,5
F,3,3,19
M,17,11,22
B,4,14,11
A,21,12,4
O,14,5,3
M,23,10,21
F,16,25,28
A,14,8,27
F,15,2,4
F,22,10,12
G,8,19,16
F,26,5,28
G,9,20,18
G,12,1,12
M,4,26,10
B,20,13,14
K,1,19,6
F,6,7,26
G,10,17,27
M,23,19,4
A,5,19,27
G,13,20,4
M,7,27,7
O,13,23,11
B,26,20,12
M,5,1,5
O,4,2,27
O,20,5,20
K,8,4,11
M,10,19,25
A,18,24,23
F,11,5,7
G,11,3,19
K,11,5,12
O,20,24,5
O,28,16,27
O,25,17,1
O,9,21,3
O,20,17,23
F,2,4,12
F,5,11,21
B,11,19,6
K,12,13,24
G,4,23,7
F,20,13,10
M,28,11,17
B,8,3,18
M,16,27,11
F,18,8,1
M,10,22,11
O,26,19,21
F,24,4,22
F,18,20,17
K,4,12,5
B,4,28,21
F,15,26,12
M,8,17,12
O,7,26,14
G,25,16,6
G,7,23,22
K,9,17,10
M,8,25,14
F,15,5,23
B,3,19,19
M,22,12,8
O,20,4,5
M,5,23,14
K,6,21,17
B,18,6,10
A,5,25,23
A,22,26,21
M,17,3,16
A,8,12,25
A,2,27,26
K,19,3,6
B,25,14,17
B,6,22,4
K,27,16,25
A,15,7,2
M,17,21,26
A,11,9,22
G,4,16,11
O,21,26,4
A,15,13,24
K,8,5,8
M,13,4,13
F,12,1,10
G,19,10,11
F,17,27,15
F,24,19,2
B,17,23,12
B,17,22,27
B,28,11,19
A,4,19,13
G,19,14,2
A,18,1,14
B,24,26,21
F,19,23,8
G,26,2,21
A,26,2,14
F,14,28,9
A,27,1,6
F,18,3,1
B,19,4,26
B,15,10,19
O,4,9,21
B,23,23,27
G,8,5,21
O,23,28,9
F,28,11,12
K,12,24,23
F,22,7,28
